spotify_id,name,artists,album_release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0ZS96pPRLyGUViVi5PWCAR,APAGA EL CEL,"FloyyMenor, Lewis Somes",2024-08-09,0.696,0.496,-7.532,0.0365,0.273,0.000397,0.0626,0.476,100.025
3l6CjeIBGZuoCxNS88APlI,SATIROLOGÍA,"Kidd Voodoo, Dysbit",2024-11-07,0.649,0.831,-6.338,0.0371,0.121,3.31e-06,0.364,0.336,95.018
6Dj22jpOiUm5DMjjEdeImQ,BEIA (Jere Klein),"Prod Millones, Axl Boore",2024-07-14,0.689,0.543,-4.648,0.405,0.00229,0.0,0.135,0.859,99.776
3uI1I2juxVWkrjSHdd9mVh,NO COOPERAMOS,"Pailita, El Jordan 23, Cris Mj, Galee Galee",2024-10-03,0.836,0.915,-5.92,0.101,0.0703,8.86e-05,0.643,0.637,98.007
6ymaPM4b33D7mXzWXidOVI,Obsesion,Tayna,2024-11-15,0.777,0.579,-11.481,0.0605,0.263,0.122,0.0988,0.244,121.983
2kVQ0vYZEcfnccx6o0imvg,На луну,"Egor Kreed, LOVV66",2024-11-22,0.689,0.607,-6.25,0.0391,0.219,0.0,0.209,0.347,156.061
6wboSbezFzHT8rOgc2MjcN,Выше облаков,Egor Kreed,2024-11-22,0.717,0.795,-5.624,0.108,0.289,0.0,0.115,0.215,142.079
48iccIVYgczDpbNdATne4j,Завтра,"Egor Kreed, Basta",2024-11-22,0.741,0.676,-6.079,0.175,0.091,0.0,0.152,0.274,85.973
37ozVDmL5b6NNVWFYgAlkz,Come Play (from the series Arcane League of Legends),"Stray Kids, Young Miko, Arcane, Tom Morello, League of Legends",2024-10-16,0.565,0.867,-5.465,0.0964,0.00304,0.0,0.257,0.424,95.004
5w0MzbhxdERNK5Z5o6Wa8f,HELL,"Egor Kreed, 9mice, Kai Angel",2024-11-22,0.486,0.801,-4.331,0.156,0.0119,8.9e-05,0.163,0.258,78.359
5rIv8Ya5G1bLQoXwIKTn80,Nem Ligo Pro Amor,"MC LUUKY, Oldilla",2024-08-30,0.867,0.488,-8.959,0.44,0.656,0.0,0.113,0.828,129.995
1NcqLEg2r2LXqMVbam2BJD,Triplex - Ao Vivo,"Matheus Fernandes, Matheus & Kauan",2024-05-22,0.657,0.839,-4.603,0.0528,0.582,0.0,0.945,0.793,109.813
2KBXfG7eaVy22lc3YgsBlh,Вятъра,"Molec, The Mystery Of The Bulgarian Voices",2024-10-21,0.686,0.667,-7.51,0.0503,0.357,0.0,0.111,0.45,129.948
3I4DeXZENnp9txN2za4Lyf,Константине,"Konstantin, Sofi Marinova",2024-10-24,0.74,0.913,-3.645,0.19,0.0177,3.18e-06,0.121,0.643,180.021
